"cps19_votechoice","cps19_citizenship","cps19_age","cps19_gender","cps19_education","cps19_employment","cps19_income_number","cps19_marital","cps19_province"
"Liberal Party","Canadian citizen",27,"A woman","Completed secondary/ high school","Self employed (with or without employees)",20000,"Never Married","Quebec"
"Bloc Québécois","Canadian citizen",71,"A man","Bachelor's degree","Retired",46000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",59,"A woman","Bachelor's degree","Caring for a family",1e+05,"Married","Ontario"
"Green Party","Canadian citizen",32,"A woman","Completed technical, community college, CEGEP, College Classique","Student",80000,"Married","British Columbia"
"ndp","Canadian citizen",71,"A woman","Completed elementary school","Self employed (with or without employees)",201453,"Living with a partner","British Columbia"
"Liberal Party","Canadian citizen",46,"A man","Completed secondary/ high school","Working for pay full-time",50000,"Never Married","Ontario"
"Green Party","Canadian citizen",44,"A man","Some university","Working for pay full-time",61000,"Married","Ontario"
"Liberal Party","Canadian citizen",64,"A man","Completed secondary/ high school","Working for pay full-time",74000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",45,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",155000,"Living with a partner","Alberta"
"Conservative Party","Canadian citizen",36,"A woman","Completed secondary/ high school","Working for pay full-time",91000,"Married","British Columbia"
"Conservative Party","Canadian citizen",54,"A woman","Master's degree","Working for pay full-time",132000,"Living with a partner","Alberta"
"Conservative Party","Canadian citizen",72,"A man","Bachelor's degree","Self employed (with or without employees)",49000,"Married","Ontario"
"Liberal Party","Canadian citizen",59,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",125000,"Married","Newfoundland and Labrador"
"ndp","Canadian citizen",60,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",95000,"Married","Ontario"
"Conservative Party","Canadian citizen",49,"A man","Completed secondary/ high school","Working for pay full-time",49999,"Never Married","Ontario"
"Conservative Party","Canadian citizen",70,"A man","Master's degree","Working for pay part-time",85000,"Married","British Columbia"
"Green Party","Canadian citizen",67,"A man","Bachelor's degree","Working for pay full-time",28000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",75,"A man","Completed technical, community college, CEGEP, College Classique","Retired",64000,"Married","Ontario"
"Liberal Party","Canadian citizen",24,"A man","Bachelor's degree","Working for pay full-time",89000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",50,"A man","Bachelor's degree","Working for pay full-time",56000,"Married","British Columbia"
"Conservative Party","Canadian citizen",61,"A woman","Completed secondary/ high school","Working for pay full-time",49000,"Married","Quebec"
"Conservative Party","Canadian citizen",50,"A man","Professional degree or doctorate","Working for pay full-time",165000,"Married","Ontario"
"Conservative Party","Canadian citizen",65,"A man","Professional degree or doctorate","Retired",149000,"Married","Alberta"
"ndp","Canadian citizen",55,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",2e+05,"Married","Ontario"
"Conservative Party","Canadian citizen",40,"A woman","Bachelor's degree","Working for pay full-time",125000,"Married","Ontario"
"Conservative Party","Canadian citizen",49,"A woman","Completed secondary/ high school","Working for pay full-time",80000,"Separated","Quebec"
"Conservative Party","Canadian citizen",31,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",50000,"Married","Ontario"
"Liberal Party","Canadian citizen",57,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",1e+05,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",24,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",145000,"Married","Ontario"
"Conservative Party","Canadian citizen",73,"A woman","Some secondary/ high school","Working for pay part-time",39000,"Widowed","Alberta"
"Liberal Party","Canadian citizen",57,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Some secondary/ high school","Retired",75000,"Married","British Columbia"
"ndp","Canadian citizen",75,"A woman","Bachelor's degree","Retired",24800,"Divorced","Saskatchewan"
"ndp","Canadian citizen",56,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",85000,"Divorced","Saskatchewan"
"Conservative Party","Canadian citizen",38,"A woman","Bachelor's degree","Working for pay part-time",119000,"Married","Alberta"
"Conservative Party","Canadian citizen",62,"A man","Bachelor's degree","Working for pay full-time",190000,"Married","Ontario"
"Liberal Party","Canadian citizen",67,"A woman","Some university","Retired",23000,"Divorced","Quebec"
"Liberal Party","Canadian citizen",40,"A man","Bachelor's degree","Working for pay full-time",160000,"Married","Ontario"
"ndp","Canadian citizen",29,"A woman","Bachelor's degree","Working for pay full-time",40000,"Married","Alberta"
"Liberal Party","Canadian citizen",34,"A woman","Bachelor's degree","Working for pay full-time",35500,"Never Married","Nova Scotia"
"Liberal Party","Canadian citizen",57,"A woman","Some technical, community college, CEGEP, College Classique","Disabled",17000,"Separated","Ontario"
"Liberal Party","Canadian citizen",72,"A man","Completed technical, community college, CEGEP, College Classique","Retired",77000,"Married","British Columbia"
"Liberal Party","Canadian citizen",36,"A man","Bachelor's degree","Working for pay full-time",140000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",66,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",125000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",51,"A man","Some university","Retired",150000,"Living with a partner","Ontario"
"Bloc Québécois","Canadian citizen",64,"A man","Bachelor's degree","Self employed (with or without employees)",93000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",41,"A man","Bachelor's degree","Working for pay full-time",99000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",61,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",150000,"Married","Alberta"
"Green Party","Canadian citizen",86,"A man","Some technical, community college, CEGEP, College Classique","Retired",36000,"Married","British Columbia"
"Conservative Party","Canadian citizen",54,"A man","Completed secondary/ high school","Unemployed/ looking for work",9800,"Never Married","Ontario"
"Bloc Québécois","Canadian citizen",21,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",40000,"Never Married","Quebec"
"ndp","Canadian citizen",26,"A woman","Bachelor's degree","Working for pay full-time",70000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",62,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",99,"Never Married","Ontario"
"Conservative Party","Canadian citizen",52,"A woman","Some university","Disabled",94000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",25,"A woman","Some technical, community college, CEGEP, College Classique","Student",26000,"Living with a partner","New Brunswick"
"Liberal Party","Canadian citizen",66,"A man","Some university","Retired",120000,"Married","Ontario"
"Liberal Party","Canadian citizen",44,"A woman","Bachelor's degree","Working for pay full-time",2e+05,"Married","Ontario"
"ndp","Canadian citizen",53,"A woman","Some technical, community college, CEGEP, College Classique","Caring for a family",26000,"Married","Ontario"
"Conservative Party","Canadian citizen",57,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",140000,"Married","Alberta"
"Conservative Party","Canadian citizen",58,"A man","Bachelor's degree","Working for pay full-time",248000,"Married","Ontario"
"ndp","Canadian citizen",40,"A woman","Completed secondary/ high school","Caring for a family",32000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",65,"A man","Professional degree or doctorate","Self employed (with or without employees)",32000,"Married","Ontario"
"Green Party","Canadian citizen",59,"A man","Bachelor's degree","Working for pay full-time",25000,"Never Married","Ontario"
"ndp","Canadian citizen",35,"A woman","Master's degree","Working for pay full-time",150000,"Living with a partner","Alberta"
"Conservative Party","Canadian citizen",67,"A woman","Some secondary/ high school","Retired and working for pay",35000,"Married","British Columbia"
"Liberal Party","Canadian citizen",61,"A man","Bachelor's degree","Working for pay full-time",225000,"Married","Ontario"
"Liberal Party","Canadian citizen",19,"A woman","Completed secondary/ high school","Student and working for pay",40000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",55,"A man","Bachelor's degree","Retired",185000,"Married","British Columbia"
"Bloc Québécois","Canadian citizen",80,"A woman","Master's degree","Retired",41000,"Never Married","Quebec"
"Bloc Québécois","Canadian citizen",77,"A man","Completed secondary/ high school","Retired",23000,"Married","Quebec"
"Conservative Party","Canadian citizen",63,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",61000,"Married","Prince Edward Island"
"Green Party","Canadian citizen",55,"A man","Bachelor's degree","Working for pay full-time",250000,"Married","Ontario"
"Conservative Party","Canadian citizen",58,"A man","Some elementary school","Retired",15000,"Divorced","British Columbia"
"Conservative Party","Canadian citizen",29,"A woman","Bachelor's degree","Working for pay full-time",70000,"Never Married","Alberta"
"Conservative Party","Canadian citizen",21,"A woman","Some university","Student",3e+05,"Never Married","Saskatchewan"
"Conservative Party","Canadian citizen",56,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",93000,"Married","Ontario"
"ndp","Canadian citizen",50,"A man","Professional degree or doctorate","Working for pay full-time",120000,"Married","Ontario"
"Conservative Party","Canadian citizen",51,"A man","Completed secondary/ high school","Working for pay full-time",38000,"Living with a partner","Quebec"
"ndp","Canadian citizen",51,"A man","Some university","Retired",50000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",73,"A woman","Bachelor's degree","Retired",58000,"Married","Ontario"
"Conservative Party","Canadian citizen",66,"A man","Some technical, community college, CEGEP, College Classique","Retired and working for pay",1e+05,"Married","Manitoba"
"Liberal Party","Canadian citizen",71,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",3000,"Married","Nova Scotia"
"Conservative Party","Canadian citizen",59,"A woman","Completed secondary/ high school","Retired",79000,"Living with a partner","Alberta"
"Green Party","Canadian citizen",21,"A man","Completed elementary school","Working for pay full-time",40000,"Divorced","Alberta"
"Green Party","Canadian citizen",38,"A man","No schooling","Unemployed/ looking for work",0,"Never Married","Alberta"
"People's Party","Canadian citizen",50,"A woman","Completed technical, community college, CEGEP, College Classique","Disabled",1440,"Separated","Ontario"
"Liberal Party","Canadian citizen",55,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",160000,"Married","Ontario"
"Green Party","Canadian citizen",29,"A woman","Some university","Working for pay part-time",42000,"Married","British Columbia"
"Liberal Party","Canadian citizen",77,"A man","Master's degree","Working for pay part-time",45000,"Married","Newfoundland and Labrador"
"ndp","Canadian citizen",49,"A woman","Bachelor's degree","Self employed (with or without employees)",129000,"Divorced","Ontario"
"Liberal Party","Canadian citizen",60,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",2e+05,"Married","Ontario"
"Conservative Party","Canadian citizen",52,"A man","Bachelor's degree","Working for pay full-time",360000,"Living with a partner","Alberta"
"Liberal Party","Canadian citizen",54,"A woman","Professional degree or doctorate","Working for pay full-time",160000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",67,"A woman","Some technical, community college, CEGEP, College Classique","Retired",65000,"Married","Ontario"
"Another party (please specify)","Canadian citizen",52,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",999000,"Divorced","British Columbia"
"Conservative Party","Canadian citizen",61,"A man","Some university","Retired",150000,"Married","Saskatchewan"
"Liberal Party","Canadian citizen",71,"A woman","Completed secondary/ high school","Retired",51000,"Married","British Columbia"
"Conservative Party","Canadian citizen",51,"A man","Bachelor's degree","Working for pay full-time",75000,"Married","Alberta"
"ndp","Canadian citizen",70,"A man","Some technical, community college, CEGEP, College Classique","Retired",150000,"Living with a partner","Alberta"
"Liberal Party","Canadian citizen",61,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",43000,"Never Married","British Columbia"
"Conservative Party","Canadian citizen",60,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",75000,"Married","Ontario"
"Green Party","Canadian citizen",72,"A woman","Some technical, community college, CEGEP, College Classique","Retired",30000,"Divorced","Manitoba"
"ndp","Canadian citizen",40,"A man","Bachelor's degree","Working for pay full-time",71000,"Never Married","British Columbia"
"Conservative Party","Canadian citizen",76,"A woman","Bachelor's degree","Retired",49000,"Married","British Columbia"
"Conservative Party","Canadian citizen",31,"A man","Some technical, community college, CEGEP, College Classique","Unemployed/ looking for work",80000,"Living with a partner","Alberta"
"ndp","Canadian citizen",40,"A woman","Bachelor's degree","Unemployed/ looking for work",40000,"Never Married","Saskatchewan"
"Conservative Party","Canadian citizen",34,"A woman","Completed secondary/ high school","Working for pay full-time",90000,"Living with a partner","Quebec"
"ndp","Canadian citizen",71,"A man","Some secondary/ high school","Retired",22000,"Widowed","British Columbia"
"Conservative Party","Canadian citizen",70,"A man","Bachelor's degree","Retired",149000,"Married","Ontario"
"Liberal Party","Canadian citizen",55,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",77000,"Widowed","Ontario"
"Conservative Party","Canadian citizen",60,"A woman","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",110000,"Married","British Columbia"
"Conservative Party","Canadian citizen",60,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",140000,"Married","Alberta"
"Conservative Party","Canadian citizen",35,"A man","Bachelor's degree","Working for pay part-time",74000,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",65,"A woman","Completed secondary/ high school","Retired",44000,"Widowed","Quebec"
"Liberal Party","Canadian citizen",27,"A man","Bachelor's degree","Working for pay full-time",130000,"Married","Quebec"
"Liberal Party","Canadian citizen",75,"A man","Master's degree","Retired",110000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",33,"A man","Bachelor's degree","Working for pay full-time",260000,"Married","Quebec"
"Conservative Party","Canadian citizen",63,"A woman","Completed secondary/ high school","Working for pay full-time",95000,"Married","Ontario"
"Liberal Party","Canadian citizen",64,"A woman","Completed secondary/ high school","Working for pay part-time",59000,"Widowed","British Columbia"
"Conservative Party","Canadian citizen",41,"A woman","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",101775,"Married","Ontario"
"Liberal Party","Canadian citizen",38,"A woman","Bachelor's degree","Working for pay full-time",120000,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",35,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",77000,"Never Married","Manitoba"
"Liberal Party","Canadian citizen",53,"A woman","Bachelor's degree","Working for pay full-time",250000,"Married","Ontario"
"Conservative Party","Canadian citizen",32,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",124570,"Married","Ontario"
"ndp","Canadian citizen",66,"A woman","Some secondary/ high school","Unemployed/ looking for work",39000,"Married","Ontario"
"ndp","Canadian citizen",59,"A woman","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",12000,"Never Married","Ontario"
"Green Party","Canadian citizen",18,"A woman","Completed secondary/ high school","Working for pay full-time",80000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",70,"A woman","Some technical, community college, CEGEP, College Classique","Other (please specify)",56000,"Living with a partner","Quebec"
"ndp","Canadian citizen",33,"A woman","Bachelor's degree","Self employed (with or without employees)",2e+05,"Married","Ontario"
"Conservative Party","Canadian citizen",32,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",70000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",63,"A man","Professional degree or doctorate","Working for pay full-time",150000,"Married","Ontario"
"Liberal Party","Canadian citizen",49,"A woman","Completed technical, community college, CEGEP, College Classique","Unemployed/ looking for work",69000,"Married","Ontario"
"People's Party","Canadian citizen",63,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",49000,"Divorced","Ontario"
"Green Party","Canadian citizen",29,"A woman","Bachelor's degree","Working for pay full-time",1e+05,"Married","Alberta"
"ndp","Canadian citizen",68,"A woman","Some technical, community college, CEGEP, College Classique","Unemployed/ looking for work",85000,"Married","Manitoba"
"Conservative Party","Canadian citizen",39,"A man","Some secondary/ high school","Caring for a family",64000,"Married","Alberta"
"Green Party","Canadian citizen",28,"A man","Bachelor's degree","Working for pay full-time",128000,"Married","British Columbia"
"Conservative Party","Canadian citizen",30,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",1e+05,"Married","Alberta"
"ndp","Canadian citizen",62,"A woman","Bachelor's degree","Retired",50000,"Married","Ontario"
"ndp","Canadian citizen",70,"A woman","Some technical, community college, CEGEP, College Classique","Retired",18000,"Separated","Ontario"
"Green Party","Canadian citizen",64,"A woman","Bachelor's degree","Retired",77000,"Married","Manitoba"
"Conservative Party","Canadian citizen",46,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",84000,"Married","Ontario"
"Liberal Party","Canadian citizen",34,"A man","Some secondary/ high school","Working for pay full-time",56000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",65,"A woman","Some technical, community college, CEGEP, College Classique","Retired",177000,"Married","Alberta"
"Liberal Party","Canadian citizen",47,"A man","Completed secondary/ high school","Working for pay full-time",210000,"Married","Alberta"
"Green Party","Canadian citizen",33,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",83000,"Married","Alberta"
"Liberal Party","Canadian citizen",35,"A woman","Bachelor's degree","Working for pay full-time",120000,"Married","Ontario"
"ndp","Canadian citizen",26,"A woman","Completed technical, community college, CEGEP, College Classique","Unemployed/ looking for work",0,"Never Married","Ontario"
"Conservative Party","Canadian citizen",30,"A woman","Some university","Working for pay full-time",125000,"Living with a partner","Alberta"
"ndp","Canadian citizen",65,"A woman","Bachelor's degree","Retired",55000,"Married","Quebec"
"Liberal Party","Canadian citizen",22,"A man","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",32000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",37,"A woman","Bachelor's degree","Working for pay full-time",190000,"Married","British Columbia"
"Liberal Party","Canadian citizen",41,"A woman","Bachelor's degree","Self employed (with or without employees)",150000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",40,"A woman","Some university","Working for pay full-time",40000,"Separated","Ontario"
"Conservative Party","Canadian citizen",35,"A woman","Completed secondary/ high school","Caring for a family",21345,"Divorced","Ontario"
"Green Party","Canadian citizen",26,"A man","Bachelor's degree","Working for pay part-time",15000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",36,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Bachelor's degree","Working for pay full-time",75000,"Married","Ontario"
"Conservative Party","Canadian citizen",25,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",140000,"Living with a partner","Alberta"
"Conservative Party","Canadian citizen",69,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",59000,"Divorced","Ontario"
"Green Party","Canadian citizen",35,"A woman","Completed secondary/ high school","Working for pay full-time",120000,"Living with a partner","Ontario"
"ndp","Canadian citizen",29,"A woman","Some technical, community college, CEGEP, College Classique","Caring for a family",25000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",49,"A woman","Some university","Working for pay full-time",75000,"Widowed","Alberta"
"Green Party","Canadian citizen",24,"A woman","Some university","Working for pay part-time",20000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",50,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",90000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",68,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",45000,"Divorced","Alberta"
"Conservative Party","Canadian citizen",48,"A woman","Completed technical, community college, CEGEP, College Classique","Caring for a family",102000,"Married","British Columbia"
"ndp","Canadian citizen",36,"A man","Completed secondary/ high school","Working for pay full-time",79000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",68,"A man","Bachelor's degree","Retired",110000,"Married","British Columbia"
"Liberal Party","Canadian citizen",34,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",65000,"Married","British Columbia"
"Conservative Party","Canadian citizen",59,"A man","Bachelor's degree","Disabled",23000,"Never Married","Alberta"
"Conservative Party","Canadian citizen",28,"A man","Some technical, community college, CEGEP, College Classique","Unemployed/ looking for work",23000,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",59,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",75000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",64,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",90000,"Widowed","Alberta"
"Conservative Party","Canadian citizen",37,"A woman","Completed secondary/ high school","Working for pay full-time",162000,"Married","Alberta"
"Conservative Party","Canadian citizen",72,"A man","Completed secondary/ high school","Working for pay full-time",99000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",24,"A man","Master's degree","Working for pay full-time",95654,"Living with a partner","Manitoba"
"ndp","Canadian citizen",30,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",99000,"Married","Ontario"
"Liberal Party","Canadian citizen",53,"A woman","Bachelor's degree","Working for pay full-time",115000,"Never Married","New Brunswick"
"ndp","Canadian citizen",42,"A woman","Some secondary/ high school","Self employed (with or without employees)",20000,"Never Married","British Columbia"
"Conservative Party","Canadian citizen",40,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",130000,"Living with a partner","Saskatchewan"
"Liberal Party","Canadian citizen",66,"A man","Completed technical, community college, CEGEP, College Classique","Retired",94000,"Married","Manitoba"
"Liberal Party","Canadian citizen",31,"A woman","Master's degree","Working for pay full-time",25000,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",48,"A man","Bachelor's degree","Working for pay full-time",50000,"Never Married","British Columbia"
"Conservative Party","Canadian citizen",40,"A woman","Completed secondary/ high school","Working for pay full-time",90000,"Living with a partner","Alberta"
"Liberal Party","Canadian citizen",66,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",34000,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",50,"A woman","Bachelor's degree","Working for pay full-time",1e+05,"Separated","Nova Scotia"
"Conservative Party","Canadian citizen",53,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",280000,"Married","Newfoundland and Labrador"
"ndp","Canadian citizen",46,"A woman","Bachelor's degree","Working for pay full-time",85000,"Living with a partner","Quebec"
"Bloc Québécois","Canadian citizen",63,"A woman","Completed secondary/ high school","Retired",60000,"Never Married","Quebec"
"ndp","Canadian citizen",35,"A woman","Master's degree","Caring for a family",65000,"Living with a partner","British Columbia"
"Liberal Party","Canadian citizen",33,"A man","Bachelor's degree","Working for pay full-time",75000,"Living with a partner","British Columbia"
"Liberal Party","Canadian citizen",68,"A man","Master's degree","Retired",50000,"Married","Quebec"
"Conservative Party","Canadian citizen",58,"A man","Bachelor's degree","Working for pay full-time",115000,"Married","Quebec"
"Liberal Party","Canadian citizen",67,"A woman","Completed secondary/ high school","Retired",80000,"Married","Quebec"
"Liberal Party","Canadian citizen",73,"A woman","Some university","Retired",34000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",62,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",82000,"Living with a partner","Ontario"
"People's Party","Canadian citizen",67,"A man","Completed secondary/ high school","Retired",38000,"Married","Quebec"
"People's Party","Canadian citizen",28,"A man","Bachelor's degree","Working for pay full-time",60000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",51,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",149000,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",69,"A woman","Some technical, community college, CEGEP, College Classique","Retired",39000,"Divorced","Quebec"
"Bloc Québécois","Canadian citizen",58,"A woman","Completed secondary/ high school","Working for pay full-time",140000,"Living with a partner","Quebec"
"ndp","Canadian citizen",47,"A man","Master's degree","Working for pay full-time",2e+05,"Married","Quebec"
"Green Party","Canadian citizen",46,"A woman","Some technical, community college, CEGEP, College Classique","Caring for a family",44000,"Living with a partner","Manitoba"
"Conservative Party","Canadian citizen",57,"A woman","Completed secondary/ high school","Unemployed/ looking for work",39000,"Married","British Columbia"
"Conservative Party","Canadian citizen",68,"A man","Completed secondary/ high school","Retired",49000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",56,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",250000,"Married","Ontario"
"Conservative Party","Canadian citizen",98,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",64000,"Married","Ontario"
"Conservative Party","Canadian citizen",59,"A man","Some technical, community college, CEGEP, College Classique","Disabled",25000,"Living with a partner","Ontario"
"Green Party","Canadian citizen",38,"A woman","Bachelor's degree","Student",42000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",38,"A man","Completed secondary/ high school","Working for pay part-time",12762,"Never Married","Quebec"
"Bloc Québécois","Canadian citizen",55,"A woman","Bachelor's degree","Working for pay full-time",82500,"Living with a partner","Quebec"
"Green Party","Canadian citizen",68,"A man","Completed technical, community college, CEGEP, College Classique","Retired",67000,"Married","Ontario"
"Conservative Party","Canadian citizen",59,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",150000,"Married","British Columbia"
"Conservative Party","Canadian citizen",43,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",225000,"Married","Ontario"
"Conservative Party","Canadian citizen",54,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",102000,"Married","New Brunswick"
"Conservative Party","Canadian citizen",67,"A man","Professional degree or doctorate","Retired",49000,"Married","Quebec"
"Liberal Party","Canadian citizen",66,"A man","Master's degree","Retired",20000,"Married","Ontario"
"Liberal Party","Canadian citizen",67,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",55000,"Married","Alberta"
"Conservative Party","Canadian citizen",39,"A man","Bachelor's degree","Working for pay full-time",170000,"Married","Ontario"
"Conservative Party","Canadian citizen",66,"A man","Completed secondary/ high school","Retired",60000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",61,"A man","Professional degree or doctorate","Retired",75000,"Married","Ontario"
"Liberal Party","Canadian citizen",74,"A man","Master's degree","Retired",69000,"Divorced","Ontario"
"Liberal Party","Canadian citizen",60,"A woman","Completed secondary/ high school","Retired",42000,"Married","Quebec"
"Bloc Québécois","Canadian citizen",73,"A woman","Some technical, community college, CEGEP, College Classique","Retired",25000,"Widowed","Quebec"
"ndp","Canadian citizen",38,"A woman","Master's degree","Working for pay full-time",180000,"Living with a partner","Quebec"
"Bloc Québécois","Canadian citizen",67,"A woman","Completed secondary/ high school","Retired",35000,"Married","Quebec"
"Green Party","Canadian citizen",46,"A man","Master's degree","Student",55000,"Separated","Quebec"
"Conservative Party","Canadian citizen",50,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",220000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",64,"A man","Completed secondary/ high school","Retired",48000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",79,"A man","Completed secondary/ high school","Retired",42000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",59,"A woman","Completed secondary/ high school","Working for pay full-time",62000,"Living with a partner","Ontario"
"Green Party","Canadian citizen",56,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",40000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",40,"A man","Bachelor's degree","Retired",98000,"Married","Ontario"
"Conservative Party","Canadian citizen",44,"A man","Master's degree","Working for pay full-time",70000,"Married","Ontario"
"Conservative Party","Canadian citizen",56,"A woman","Bachelor's degree","Working for pay full-time",1e+05,"Divorced","Ontario"
"Liberal Party","Canadian citizen",57,"A woman","Master's degree","Working for pay full-time",1e+05,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",55,"A man","Completed technical, community college, CEGEP, College Classique","Retired",70000,"Married","Ontario"
"Conservative Party","Canadian citizen",66,"A man","Completed secondary/ high school","Retired",60000,"Married","Quebec"
"ndp","Canadian citizen",55,"A woman","Some technical, community college, CEGEP, College Classique","Retired",250000,"Married","Ontario"
"Green Party","Canadian citizen",62,"A woman","Bachelor's degree","Retired",90000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",49,"A man","Completed secondary/ high school","Disabled",30000,"Never Married","Quebec"
"ndp","Canadian citizen",52,"A woman","Some university","Working for pay full-time",150000,"Married","Ontario"
"Another party (please specify)","Canadian citizen",58,"A man","Some secondary/ high school","Working for pay full-time",80000,"Married","Quebec"
